speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb	longWds	totWds
ATAROS_minus_Duplicates	3I	2	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	28
ATAROS_minus_Duplicates	3I	2	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	26
ATAROS_minus_Duplicates	3I	2	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	13
ATAROS_minus_Duplicates	3I	2	0	1	0	1	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	16
ATAROS_minus_Duplicates	6B	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	24
ATAROS_minus_Duplicates	6B	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	10
ATAROS_minus_Duplicates	3I	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4
ATAROS_minus_Duplicates	6B	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	22
ATAROS_minus_Duplicates	6B	2	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	6
ATAROS_minus_Duplicates	3I	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	10
ATAROS_minus_Duplicates	3I	2	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	41
ATAROS_minus_Duplicates	6B	2	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	33
ATAROS_minus_Duplicates	3I	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	11
