speaker	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb	longWds	totWds
Blankfein	0	0	0	0	0.125	0	0.25	0	0.25	0.125	0.125	0	0.25	0	0.25	0	0.375	0	0	0	0	0	0	0	0	0.375	0	8
Blankfein	0	0	0	0	0	0	0.3333333333333333	0	0.3333333333333333	0	0.3333333333333333	0	0.3333333333333333	0	0.3333333333333333	0	0.3333333333333333	0	0	0	0	0	0	0	0	0.3333333333333333	0	3
Blankfein	0	0	0.07142857142857142	0	0.14285714285714285	0	0.07142857142857142	0	0.07142857142857142	0	0	0	0	0	0.07142857142857142	0.07142857142857142	0.21428571428571427	0.07142857142857142	0.07142857142857142	0	0	0.07142857142857142	0	0	0	0	0.42857142857142855	14
Blankfein	0	0	0.1	0	0	0	0	0	0.3	0	0.2	0	0.2	0	0.3	0	0.6	0.3	0	0	0	0.1	0	0	0	0.2	0.3	10
Blankfein	0	0	0.14285714285714285	0	0	0	0.07142857142857142	0	0.21428571428571427	0	0.07142857142857142	0	0.07142857142857142	0	0.21428571428571427	0.14285714285714285	0.5	0.21428571428571427	0	0	0	0.21428571428571427	0	0	0	0.07142857142857142	0.35714285714285715	14
Blankfein	1	0	0.07142857142857142	0	0.14285714285714285	0	0.07142857142857142	0.07142857142857142	0.07142857142857142	0	0	0	0	0	0.14285714285714285	0.07142857142857142	0.35714285714285715	0	0	0	0	0	0.21428571428571427	0	0.14285714285714285	0.21428571428571427	0.35714285714285715	14
Blankfein	1	0.05263157894736842	0.05263157894736842	0	0	0	0.05263157894736842	0.05263157894736842	0.05263157894736842	0	0	0	0	0	0.10526315789473684	0.05263157894736842	0.42105263157894735	0.15789473684210525	0	0	0	0.10526315789473684	0.05263157894736842	0	0.10526315789473684	0.05263157894736842	0.42105263157894735	19
Blankfein	0	0.1	0.05	0	0.05	0	0	0.1	0.05	0	0	0	0	0	0.15	0.05	0.45	0.2	0	0	0	0.05	0.05	0	0	0	0.4	20
Blankfein	0	0	0.14285714285714285	0	0	0	0	0	0.2857142857142857	0.14285714285714285	0	0	0	0.14285714285714285	0.2857142857142857	0.14285714285714285	0.5714285714285714	0.14285714285714285	0	0	0	0	0	0	0	0	0.42857142857142855	7
Blankfein	0	0.16666666666666666	0	0	0	0	0.16666666666666666	0	0	0	0	0	0	0	0	0	0.5	0.16666666666666666	0	0	0	0	0	0	0	0	0.3333333333333333	6
Blankfein	0	0	0.07142857142857142	0	0	0	0.07142857142857142	0	0.2857142857142857	0.21428571428571427	0	0	0.14285714285714285	0.07142857142857142	0.2857142857142857	0.07142857142857142	0.5	0.14285714285714285	0	0	0	0.07142857142857142	0	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.2857142857142857	14
Blankfein	0	0	0.1	0	0	0	0	0	0.2	0.1	0	0	0	0.1	0.2	0	0.4	0.1	0	0	0	0.1	0	0	0.1	0.2	0.4	10
Blankfein	0	0.058823529411764705	0	0	0.058823529411764705	0	0.058823529411764705	0.058823529411764705	0	0	0	0	0	0	0.058823529411764705	0.058823529411764705	0.4117647058823529	0.23529411764705882	0	0	0	0	0	0	0	0.058823529411764705	0.35294117647058826	17
Blankfein	0	0	0	0	0.13043478260869565	0	0.043478260869565216	0.08695652173913043	0	0	0	0	0	0	0.08695652173913043	0.13043478260869565	0.5217391304347826	0.08695652173913043	0.08695652173913043	0	0	0.17391304347826086	0.2608695652173913	0.043478260869565216	0.13043478260869565	0.30434782608695654	0.13043478260869565	23
Blankfein	0	0	0	0	0	0	0.14285714285714285	0	0.14285714285714285	0.14285714285714285	0	0	0	0.14285714285714285	0.14285714285714285	0	0.5714285714285714	0	0	0	0	0	0.2857142857142857	0.14285714285714285	0.14285714285714285	0.5714285714285714	0.2857142857142857	7
Blankfein	0	0	0	0	0	0	0.0625	0	0.0625	0.0625	0	0	0	0.0625	0.0625	0.125	0.4375	0.0625	0	0	0	0.0625	0.125	0.0625	0.0625	0.1875	0.25	16
Blankfein	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	2
Blankfein	0	0	0	0	0.21052631578947367	0	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.05263157894736842	0	0	0	0.05263157894736842	0.10526315789473684	0.05263157894736842	0.2631578947368421	0.05263157894736842	0	0	0	0.05263157894736842	0.05263157894736842	0	0	0.05263157894736842	0.3684210526315789	19
Blankfein	0	0	0.0625	0	0	0	0.0625	0.0625	0.0625	0	0	0	0	0	0.125	0.0625	0.4375	0.1875	0	0	0	0.1875	0.0625	0	0	0	0.3125	16
Blankfein	0	0.04	0	0	0.2	0	0	0.04	0.12	0	0	0.12	0	0.12	0.16	0.08	0.36	0.04	0	0	0	0.08	0.12	0.12	0	0.12	0.2	25
Blankfein	0	0	0	0	0	0	0.08333333333333333	0	0.16666666666666666	0	0.08333333333333333	0.16666666666666666	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.4166666666666667	0.08333333333333333	0	0	0	0.08333333333333333	0.08333333333333333	0.08333333333333333	0	0.08333333333333333	0.3333333333333333	12
Blankfein	0	0	0.14285714285714285	0	0.09523809523809523	0	0	0.09523809523809523	0.14285714285714285	0	0	0	0	0	0.23809523809523808	0	0.42857142857142855	0.14285714285714285	0	0	0	0.09523809523809523	0	0	0	0.047619047619047616	0.38095238095238093	21
Blankfein	1	0	0	0	0.2222222222222222	0	0.1111111111111111	0	0	0	0	0	0	0	0	0.1111111111111111	0.2222222222222222	0	0	0	0	0	0.1111111111111111	0	0.1111111111111111	0.1111111111111111	0.3333333333333333	9
Blankfein	0	0	0	0	0.07142857142857142	0	0.07142857142857142	0	0.14285714285714285	0.07142857142857142	0	0.07142857142857142	0	0.14285714285714285	0.14285714285714285	0.07142857142857142	0.35714285714285715	0.14285714285714285	0	0	0	0	0	0	0	0.07142857142857142	0.2857142857142857	14
Blankfein	0	0	0	0	0	0	0.07692307692307693	0	0.23076923076923078	0.07692307692307693	0.07692307692307693	0.15384615384615385	0	0.23076923076923078	0.23076923076923078	0.07692307692307693	0.46153846153846156	0.15384615384615385	0	0	0	0	0	0	0	0.07692307692307693	0.38461538461538464	13
Blankfein	0	0	0	0	0.16666666666666666	0	0	0	0.08333333333333333	0.08333333333333333	0	0	0	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.25	0.08333333333333333	0	0	0	0	0	0	0	0.08333333333333333	0.3333333333333333	12
Blankfein	0	0	0	0	0	0	0.08333333333333333	0	0.08333333333333333	0	0.08333333333333333	0.08333333333333333	0	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.4166666666666667	0.25	0	0	0	0	0	0	0	0	0.25	12
