speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb	longWds	totWds
NWF089	3I	1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
NWF089	3I	2	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NWF089	3I	1	0.1	0	0	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.1	0	0.3	0	0	0	0	0	0	0	0.2	0.2	0	10
NWF089	3I	1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NWF089	3I	1	0	0	0	0.14285714285714285	0	0.14285714285714285	0	0.14285714285714285	0.14285714285714285	0	0	0.14285714285714285	0	0.14285714285714285	0	0.42857142857142855	0.14285714285714285	0.14285714285714285	0	0	0.14285714285714285	0	0.14285714285714285	0	0.2857142857142857	0	7
NWF089	3I	1	0	0	0	0.13636363636363635	0	0.045454545454545456	0.18181818181818182	0.09090909090909091	0.045454545454545456	0.045454545454545456	0	0.09090909090909091	0	0.3181818181818182	0.045454545454545456	0.6818181818181818	0.13636363636363635	0.13636363636363635	0	0	0.18181818181818182	0	0.045454545454545456	0.045454545454545456	0.3181818181818182	0.13636363636363635	22
NWF089	3I	1	0	0	0	0.1111111111111111	0	0.2222222222222222	0	0.1111111111111111	0.1111111111111111	0	0	0.1111111111111111	0	0.1111111111111111	0.1111111111111111	0.4444444444444444	0	0	0	0	0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.3333333333333333	0	9
NWF089	3I	1	0	0	0.2857142857142857	0	0	0	0.14285714285714285	0	0	0	0	0	0	0.14285714285714285	0	0.5714285714285714	0	0	0	0	0.14285714285714285	0.14285714285714285	0	0.14285714285714285	0.2857142857142857	0	7
NWF089	3I	2	0	0	0	0.18181818181818182	0	0.18181818181818182	0	0	0	0	0	0	0	0	0	0.36363636363636365	0.09090909090909091	0	0	0	0	0	0	0.09090909090909091	0.18181818181818182	0.18181818181818182	11
NWF089	3I	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	2
NWF089	3I	2	0	0	0	0	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.1111111111111111	0	0	0	0.1111111111111111	0.2222222222222222	0	0.4444444444444444	0	0	0	0	0	0	0	0.1111111111111111	0.4444444444444444	0	9
NWF089	3I	1	0	0	0	0.08333333333333333	0	0.16666666666666666	0.08333333333333333	0	0	0	0	0	0	0.08333333333333333	0.08333333333333333	0.3333333333333333	0.08333333333333333	0.16666666666666666	0	0	0	0	0.08333333333333333	0	0.16666666666666666	0.16666666666666666	12
NWF089	3I	1	0	0	0	0.16666666666666666	0	0.16666666666666666	0	0	0	0	0	0	0	0	0	0.3333333333333333	0.16666666666666666	0	0	0	0	0	0	0	0	0	6
NWF089	3I	1	0	0.2	0	0.2	0	0	0.2	0.2	0	0	0	0	0	0.4	0	0.6	0.2	0.2	0	0	0	0	0	0	0.2	0	5
NWF089	3I	2	0	0	0	0.13333333333333333	0	0.2	0	0.13333333333333333	0.13333333333333333	0	0	0.06666666666666667	0.06666666666666667	0.13333333333333333	0	0.4	0	0.13333333333333333	0	0	0	0.13333333333333333	0.06666666666666667	0.06666666666666667	0.3333333333333333	0	15
NWF089	3I	1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NWF089	3I	1	0	0.05263157894736842	0	0.10526315789473684	0	0.05263157894736842	0.05263157894736842	0.10526315789473684	0.05263157894736842	0	0	0	0.05263157894736842	0.15789473684210525	0.05263157894736842	0.5263157894736842	0.21052631578947367	0	0	0	0.10526315789473684	0.05263157894736842	0.05263157894736842	0	0.15789473684210525	0	19
NWF089	3I	2	0	0	0	0	0	0.1111111111111111	0.1111111111111111	0	0	0	0	0	0	0.1111111111111111	0	0.4444444444444444	0.1111111111111111	0	0	0	0	0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.3333333333333333	9
NWF089	3I	1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NWF089	3I	1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	2
NWF089	3I	1	0	0	0	0	0	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NWF089	3I	1	0	0	0	0.13333333333333333	0	0.13333333333333333	0	0.13333333333333333	0	0	0.13333333333333333	0	0.13333333333333333	0.13333333333333333	0	0.6	0.06666666666666667	0	0	0	0	0.13333333333333333	0	0.13333333333333333	0.4	0	15
NWF089	3I	2	0	0	0.06666666666666667	0.06666666666666667	0	0.13333333333333333	0.13333333333333333	0.06666666666666667	0.06666666666666667	0	0	0	0.06666666666666667	0.2	0	0.4666666666666667	0	0.06666666666666667	0	0	0	0.13333333333333333	0	0.06666666666666667	0.4	0	15
NWF089	3I	1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NWF089	3I	1	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0.2	0	0.2	0	5
NWF089	3I	1	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0.5	0.25	0	0	0	0	0	0	0	0	0	4
