speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	2	0	2	0	2	0	0	2	0	2	2	0	9	1	0	0	0	0	2	0	2	6
NWF089	3I	2	0	0	1	1	0	2	2	1	1	0	0	0	1	3	0	7	0	1	0	0	0	2	0	1	6
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1
NWF089	3I	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
NWF089	3I	2	0	1	0	1	0	3	1	2	1	0	0	0	1	3	1	7	2	0	0	0	1	0	0	1	2
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	1	0	1	1	1	1	0	0	1	0	2	0	4	1	1	0	0	0	0	1	0	2
NWF089	3I	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	2
NWF089	3I	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	5	1	0	0	0	0	0	1	0	3
NWF089	3I	1	0	0	0	1	0	1	1	1	1	0	0	0	1	2	0	4	0	0	0	0	0	0	1	0	4
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
NWF089	3I	1	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	4	1	0	0	0	0	1	1	0	1
NWF089	3I	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	5	2	0	0	0	2	0	0	1	2
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	1	0	2	3	0	0	0	0	0	0	3	0	6	1	2	0	0	0	1	1	1	3
NWF089	3I	2	0	0	0	3	0	4	2	0	0	0	0	0	0	2	2	7	0	3	0	0	0	3	0	2	3
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
