speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb	longWds	totWds
ATAROS_minus_Duplicates	3I	1	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1
ATAROS_minus_Duplicates	6B	2	0.047619047619047616	0	0	0.09523809523809523	0	0.2857142857142857	0.14285714285714285	0	0	0	0	0	0	0.14285714285714285	0	0.42857142857142855	0	0.09523809523809523	0	0	0	0.047619047619047616	0.047619047619047616	0.09523809523809523	0.14285714285714285	0.09523809523809523	21
ATAROS_minus_Duplicates	6B	2	0	0.18181818181818182	0.09090909090909091	0.09090909090909091	0	0	0	0.18181818181818182	0	0	0	0	0	0.18181818181818182	0	0.2727272727272727	0	0.09090909090909091	0	0	0	0	0.09090909090909091	0	0.09090909090909091	0.2727272727272727	11
ATAROS_minus_Duplicates	3I	1	0	0	0.14285714285714285	0.14285714285714285	0	0.14285714285714285	0	0	0	0	0	0	0	0	0	0.2857142857142857	0.14285714285714285	0.2857142857142857	0	0	0	0	0	0	0	0	7
ATAROS_minus_Duplicates	6B	1	0	0	0	0.07692307692307693	0	0.07692307692307693	0	0.07692307692307693	0.07692307692307693	0	0	0	0.07692307692307693	0.07692307692307693	0.15384615384615385	0.46153846153846156	0	0	0	0	0	0	0.07692307692307693	0.07692307692307693	0.3076923076923077	0.23076923076923078	13
ATAROS_minus_Duplicates	3I	1	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	4
ATAROS_minus_Duplicates	3I	2	0	0	0.07692307692307693	0	0	0.07692307692307693	0.07692307692307693	0.15384615384615385	0.15384615384615385	0	0	0.07692307692307693	0.07692307692307693	0.23076923076923078	0	0.38461538461538464	0.07692307692307693	0.15384615384615385	0	0	0	0	0	0.07692307692307693	0.15384615384615385	0.15384615384615385	13
ATAROS_minus_Duplicates	6B	2	0	0	0.02702702702702703	0.16216216216216217	0	0.02702702702702703	0	0.13513513513513514	0.10810810810810811	0.02702702702702703	0	0.05405405405405406	0.05405405405405406	0.13513513513513514	0.08108108108108109	0.4864864864864865	0.08108108108108109	0.08108108108108109	0	0	0.02702702702702703	0.13513513513513514	0.02702702702702703	0.10810810810810811	0.24324324324324326	0.10810810810810811	37
ATAROS_minus_Duplicates	6B	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	5
ATAROS_minus_Duplicates	6B	2	0	0.03333333333333333	0	0.03333333333333333	0	0.06666666666666667	0.06666666666666667	0.1	0	0.03333333333333333	0.06666666666666667	0	0.06666666666666667	0.16666666666666666	0.06666666666666667	0.6666666666666666	0.16666666666666666	0.03333333333333333	0	0	0.06666666666666667	0.13333333333333333	0.1	0.06666666666666667	0.3	0.16666666666666666	30
ATAROS_minus_Duplicates	3I	1	0	0	0	0.1111111111111111	0	0.1111111111111111	0	0.1111111111111111	0.1111111111111111	0	0	0.1111111111111111	0	0.1111111111111111	0.1111111111111111	0.4444444444444444	0	0.2222222222222222	0	0	0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.3333333333333333	0	9
ATAROS_minus_Duplicates	3I	1	0	0	0.1	0.2	0	0	0	0.1	0.1	0	0	0	0.1	0.1	0	0.5	0	0.2	0	0	0	0.1	0	0.1	0.2	0	10
ATAROS_minus_Duplicates	3I	1	0	0	0	0.2222222222222222	0	0.1111111111111111	0	0	0	0	0	0	0	0	0	0.3333333333333333	0.1111111111111111	0.1111111111111111	0	0	0	0	0	0	0	0	9
ATAROS_minus_Duplicates	6B	1	0	0	0	0.14285714285714285	0	0.14285714285714285	0.14285714285714285	0	0	0	0	0	0	0.14285714285714285	0.14285714285714285	0.7142857142857143	0.14285714285714285	0.14285714285714285	0	0	0	0	0.14285714285714285	0	0.14285714285714285	0	7
ATAROS_minus_Duplicates	3I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0.3333333333333333	0	0	0	0.3333333333333333	0	0	0	0	0	3
ATAROS_minus_Duplicates	3I	0	0	0	0	0	0	0.16666666666666666	0	0.16666666666666666	0.16666666666666666	0	0	0.16666666666666666	0	0.16666666666666666	0	0.3333333333333333	0	0	0	0	0.16666666666666666	0.16666666666666666	0	0	0.3333333333333333	0	6
ATAROS_minus_Duplicates	6B	0	0	0	0	0	0	0.2222222222222222	0.1111111111111111	0.05555555555555555	0.05555555555555555	0	0	0.05555555555555555	0	0.16666666666666666	0.05555555555555555	0.5	0	0.1111111111111111	0	0	0	0	0	0.1111111111111111	0.3333333333333333	0.2222222222222222	18
ATAROS_minus_Duplicates	6B	1	0	0	0	0.16666666666666666	0	0.16666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16666666666666666	0	0.3333333333333333	6
ATAROS_minus_Duplicates	6B	1	0	0	0	0.23076923076923078	0	0	0.07692307692307693	0.15384615384615385	0.15384615384615385	0	0	0.15384615384615385	0	0.23076923076923078	0	0.5384615384615384	0.15384615384615385	0.07692307692307693	0	0	0	0.07692307692307693	0.07692307692307693	0	0.3076923076923077	0.15384615384615385	13
ATAROS_minus_Duplicates	3I	1	0	0	0	0	0	0.3333333333333333	0.1111111111111111	0	0	0	0	0	0	0.1111111111111111	0	0.2222222222222222	0.1111111111111111	0	0	0	0	0	0	0.1111111111111111	0.1111111111111111	0	9
