deal	5.361396413991713e-05	7	['2', '1']
booster	7.659137734273875e-06	1	['1']
hallways	7.659137734273875e-06	1	['1']
keeping	0.00022977413202821627	30	['2', '1', '0']
desert	1.531827546854775e-05	2	['2', '0']
fishnets	1.531827546854775e-05	2	['2', '1']
clean	0.00010722792827983426	14	['3', '2', '1']
everywhere	5.361396413991713e-05	7	['2', '1']
total	3.06365509370955e-05	4	['2', '0', '1']
dairy-ish	1.531827546854775e-05	2	['2', '1']
helped	7.659137734273875e-06	1	['0']
domestic	2.2977413202821626e-05	3	['1']
winner	7.659137734273875e-06	1	['2']
therapists	3.829568867136938e-05	5	['2', '0', '1']
barn	7.659137734273875e-06	1	['1']
hit	2.2977413202821626e-05	3	['2', '1']
select	7.659137734273875e-06	1	['2']
pretending	1.531827546854775e-05	2	['2']
alone	2.2977413202821626e-05	3	['2', '1']
baking	0.0001914784433568469	25	['2', '1', '0']
against	4.595482640564325e-05	6	['3', '2']
humane	3.06365509370955e-05	4	['2', '1']
favor	3.06365509370955e-05	4	['2', '1']
poetry	0.0005055030904620758	66	['3', '2', '1', '0']
picking	1.531827546854775e-05	2	['1']
ness	7.659137734273875e-06	1	['2']
neighbors	3.829568867136938e-05	5	['2', '1']
herring	7.659137734273875e-06	1	['3']
community	0.00048252567725925414	63	['2', '0', '1']
identified	1.531827546854775e-05	2	['3', '1']
well	0.004549527814158682	594	['3', '2', '1', '0']
s_t_d	7.659137734273875e-06	1	['1']
design	7.659137734273875e-06	1	['2']
catch-all	7.659137734273875e-06	1	['2']
healthy	6.893223960846487e-05	9	['2', '1']
rejected	7.659137734273875e-06	1	['1']
bin	7.659137734273875e-06	1	['1']
f_d_i_c	7.659137734273875e-06	1	['2']
dalmatians	7.659137734273875e-06	1	['2']
non-essential	1.531827546854775e-05	2	['2', '0']
happens	4.595482640564325e-05	6	['2', '1']
funneled	7.659137734273875e-06	1	['2']
middle	0.00015318275468547752	20	['2', '1', '0']
bussing	1.531827546854775e-05	2	['2', '1']
shoe	9.956879054556038e-05	13	['3', '2', '1', '0']
recreation	0.00031402464710522887	41	['2', '0', '1']
storing	1.531827546854775e-05	2	['2', '1']
drive	2.2977413202821626e-05	3	['0', '1']
grooming	7.659137734273875e-06	1	['0']
out	0.0011795072110781769	154	['3', '2', '1', '0']
c_	7.659137734273875e-06	1	['2']
volumes	7.659137734273875e-06	1	['1']
ina	7.659137734273875e-06	1	['1']
brain	2.2977413202821626e-05	3	['3', '2']
points	7.659137734273875e-06	1	['1']
stomach	7.659137734273875e-06	1	['0']
parking	6.893223960846487e-05	9	['2', '0', '1']
massages	7.659137734273875e-06	1	['3']
favorite	2.2977413202821626e-05	3	['2', '1']
camping-ish	2.2977413202821626e-05	3	['2', '1']
seen	5.361396413991713e-05	7	['2', '1', '0']
regulation	3.06365509370955e-05	4	['2', '1']
planning	2.2977413202821626e-05	3	['2', '1']
away	0.00015318275468547752	20	['2', '1', '0']
lunch	7.659137734273876e-05	10	['2', '0', '1']
excuse	2.2977413202821626e-05	3	['2', '0']
appeared	7.659137734273875e-06	1	['2']
art	5.361396413991713e-05	7	['3', '2', '1']
sodo	7.659137734273875e-06	1	['0']
heavens	7.659137734273875e-06	1	['2']
source	3.829568867136938e-05	5	['2', '1']
duties	7.659137734273875e-06	1	['2']
reorganize	7.659137734273875e-06	1	['1']
therefore	1.531827546854775e-05	2	['2', '1']
places	0.00011488706601410813	15	['2', '1', '0']
disability	0.0001302053414826559	17	['2', '1', '0']
worse	2.2977413202821626e-05	3	['2']
forgot	1.531827546854775e-05	2	['2', '1']
save	8.425051507701263e-05	11	['2', '1']
try	0.00010722792827983426	14	['2', '1', '0']
welcome	1.531827546854775e-05	2	['0']
sweets	7.659137734273876e-05	10	['2', '1']
projects	7.659137734273875e-06	1	['1']
lovely	7.659137734273875e-06	1	['2']
creepy	3.06365509370955e-05	4	['3', '2']
neglected	7.659137734273875e-06	1	['2']
thirteen	7.659137734273875e-06	1	['0']
states	2.2977413202821626e-05	3	['3', '2']
egg	0.0005591170546019929	73	['2', '1', '0']
july	7.659137734273875e-06	1	['1']
apes	7.659137734273875e-06	1	['0']
