Speaker	Partner	Task	Indepdendent	C(utterances)	C(H)	(CH|H)	P(H)	P(H|h)
NWF125	NWF124	6B	False	39	1	0	0.02564102564102564	0.0
NWF124	NWF125	6B	False	39	2	0	0.05128205128205128	0.0
NWF123	NWM074	3I	False	73	3	1	0.0410958904109589	0.16666666666666666
NWM074	NWF123	3I	False	73	6	0	0.0821917808219178	0.0
NWM063	NWM062	3I	False	17	6	2	0.35294117647058826	0.5
NWM062	NWM063	3I	False	17	4	0	0.23529411764705882	0.0
NWM070	NWF115	6B	False	33	11	4	0.3333333333333333	0.26666666666666666
NWF115	NWM070	6B	False	33	15	5	0.45454545454545453	0.45454545454545453
NWF098	NWM058	6B	False	52	23	11	0.4423076923076923	0.6875
NWM058	NWF098	6B	False	52	16	10	0.3076923076923077	0.43478260869565216
NWF106	NWF107	6B	False	18	12	8	0.6666666666666666	0.8888888888888888
NWF107	NWF106	6B	False	17	9	7	0.5294117647058824	0.5833333333333334
NWF106	NWF107	3I	False	127	49	22	0.3858267716535433	0.4489795918367347
NWF107	NWF106	3I	False	127	49	24	0.3858267716535433	0.4897959183673469
NWM070	NWF115	3I	False	67	24	16	0.3582089552238806	0.5714285714285714
NWF115	NWM070	3I	False	67	28	12	0.417910447761194	0.5
NWF098	NWM058	3I	False	139	46	13	0.33093525179856115	0.4642857142857143
NWM058	NWF098	3I	False	138	28	15	0.2028985507246377	0.32608695652173914
NWF125	NWF124	3I	False	106	6	1	0.05660377358490566	0.14285714285714285
NWF124	NWF125	3I	False	107	7	1	0.06542056074766354	0.16666666666666666
NWF123	NWM074	6B	False	122	19	10	0.1557377049180328	0.25
NWM074	NWF123	6B	False	121	40	7	0.3305785123966942	0.3684210526315789
NWM063	NWM062	6B	False	133	52	25	0.39097744360902253	0.43103448275862066
NWM062	NWM063	6B	False	134	58	22	0.43283582089552236	0.4230769230769231
